[Hz],FFT[dBm]
8.728027344E+06,-1.06265E+02
8.758544922E+06,-9.34254E+01
8.789062500E+06,-9.19454E+01
8.819580078E+06,-9.07854E+01
8.850097656E+06,-8.81054E+01
8.880615234E+06,-8.93454E+01
8.911132812E+06,-9.83454E+01
8.941650391E+06,-9.86654E+01
8.972167969E+06,-1.01945E+02
9.002685547E+06,-9.81254E+01
9.033203125E+06,-9.74454E+01
9.063720703E+06,-1.02525E+02
9.094238281E+06,-1.05245E+02
9.124755859E+06,-9.49654E+01
9.155273438E+06,-9.83254E+01
9.185791016E+06,-9.71854E+01
9.216308594E+06,-9.18654E+01
9.246826172E+06,-9.44254E+01
9.277343750E+06,-1.08025E+02
9.307861328E+06,-1.04925E+02
9.338378906E+06,-9.96254E+01
9.368896484E+06,-9.93054E+01
9.399414062E+06,-9.15454E+01
9.429931641E+06,-9.24254E+01
9.460449219E+06,-1.20225E+02
9.490966797E+06,-1.10365E+02
9.521484375E+06,-9.88654E+01
9.552001953E+06,-9.89654E+01
9.582519531E+06,-1.07045E+02
9.613037109E+06,-9.80854E+01
9.643554688E+06,-9.67254E+01
9.674072266E+06,-1.01905E+02
9.704589844E+06,-1.05745E+02
9.735107422E+06,-1.06725E+02
9.765625000E+06,-9.73854E+01
9.796142578E+06,-9.82054E+01
9.826660156E+06,-9.52454E+01
9.857177734E+06,-8.94454E+01
9.887695312E+06,-9.28054E+01
9.918212891E+06,-9.77254E+01
9.948730469E+06,-9.20654E+01
9.979248047E+06,-9.53454E+01
1.000976562E+07,-1.05985E+02
1.004028320E+07,-9.48654E+01
1.007080078E+07,-8.91054E+01
1.010131836E+07,-9.32054E+01
1.013183594E+07,-1.09765E+02
1.016235352E+07,-9.80854E+01
1.019287109E+07,-9.94054E+01
1.022338867E+07,-1.00185E+02
1.025390625E+07,-1.04005E+02
1.028442383E+07,-1.00125E+02
1.031494141E+07,-9.71254E+01
1.034545898E+07,-9.45054E+01
1.037597656E+07,-1.00565E+02
1.040649414E+07,-9.39054E+01
1.043701172E+07,-9.80854E+01
1.046752930E+07,-1.13585E+02
1.049804688E+07,-9.75854E+01
1.052856445E+07,-9.32054E+01
1.055908203E+07,-9.62054E+01
1.058959961E+07,-9.71454E+01
1.062011719E+07,-9.45854E+01
1.065063477E+07,-9.58454E+01
1.068115234E+07,-1.04005E+02
1.071166992E+07,-1.06445E+02
1.074218750E+07,-1.06985E+02
1.077270508E+07,-1.04025E+02
1.080322266E+07,-1.00045E+02
1.083374023E+07,-9.47654E+01
1.086425781E+07,-9.70654E+01
1.089477539E+07,-1.07785E+02
1.092529297E+07,-1.02345E+02
1.095581055E+07,-1.00305E+02
1.098632812E+07,-9.69054E+01
1.101684570E+07,-1.02085E+02
1.104736328E+07,-1.00825E+02
1.107788086E+07,-1.07025E+02
1.110839844E+07,-1.08325E+02
1.113891602E+07,-1.03985E+02
1.116943359E+07,-9.78654E+01
1.119995117E+07,-9.45854E+01
1.123046875E+07,-9.07654E+01
1.126098633E+07,-9.07854E+01
1.129150391E+07,-9.55854E+01
1.132202148E+07,-1.08405E+02
1.135253906E+07,-9.79454E+01
1.138305664E+07,-1.08845E+02
1.141357422E+07,-9.29054E+01
1.144409180E+07,-9.32254E+01
1.147460938E+07,-9.47454E+01
1.150512695E+07,-9.52854E+01
1.153564453E+07,-9.58254E+01
1.156616211E+07,-1.07125E+02
1.159667969E+07,-1.12405E+02
1.162719727E+07,-1.04625E+02
1.165771484E+07,-9.44654E+01
