Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-4.68,0.84,2.68,,2.307e-03,0.0108
-5.00000000000e-04,-4.6,0.84,2.68,,2.309e-03,0.0108
-5.00000000000e-04,-4.44,0.84,2.68,,2.310e-03,0.01
-5.00000000000e-04,-4.28,0.88,2.68,,2.312e-03,0.01
-5.00000000000e-04,-4,0.92,2.68,,2.314e-03,0.0092
-5.00000000000e-04,-3.72,0.92,2.68,,2.315e-03,0.0092
-5.00000000000e-04,-3.36,0.88,2.68,,2.317e-03,0.0084
-5.00000000000e-04,-3.24,0.92,2.72,,2.318e-03,0.0084
-5.00000000000e-04,-3.2,0.92,2.68,,2.320e-03,0.0076
-5.00000000000e-04,-3.28,0.96,2.68,,2.322e-03,0.0076
-5.00000000000e-04,-3.48,0.96,2.68,,2.323e-03,0.0068
-5.00000000000e-04,-3.76,0.96,2.68,,2.325e-03,0.006
-5.00000000000e-04,-4.04,1,2.72,,2.326e-03,0.006
-5.00000000000e-04,-4.24,1,2.68,,2.328e-03,0.0052
-5.00000000000e-04,-4.44,1.04,2.68,,2.330e-03,0.0044
-5.00000000000e-04,-4.6,1.04,2.68,,2.331e-03,0.0044
-5.00000000000e-04,-4.68,1.04,2.68,,2.333e-03,0.0036
-5.00000000000e-04,-4.76,1.04,2.68,,2.334e-03,0.0036
-5.00000000000e-04,-4.84,1.08,2.72,,2.336e-03,0.0028
-5.00000000000e-04,-4.88,1.08,2.68,,2.338e-03,0.002
-5.00000000000e-04,-4.88,1.08,2.68,,2.339e-03,0.0012
-5.00000000000e-04,-4.92,1.12,2.72,,2.341e-03,0.0012
-5.00000000000e-04,-4.92,1.12,2.72,,2.342e-03,0.0004
-5.00000000000e-04,-4.96,1.12,2.72,,2.344e-03,-0.0004
-5.00000000000e-04,-4.96,1.16,2.68,,2.346e-03,-0.0004
-5.00000000000e-04,-5,1.16,2.68,,2.347e-03,-0.0012
-5.00000000000e-04,-4.96,1.2,2.68,,2.349e-03,-0.002
-5.00000000000e-04,-4.96,1.2,2.68,,2.350e-03,-0.0028
-5.00000000000e-04,-4.96,1.2,2.72,,2.352e-03,-0.0036
-5.00000000000e-04,-4.96,1.24,2.72,,2.354e-03,-0.0036
-5.00000000000e-04,-4.96,1.24,2.68,,2.355e-03,-0.0044
-5.00000000000e-04,-4.96,1.28,2.72,,2.357e-03,-0.0052
-5.00000000000e-04,-5,1.28,2.68,,2.358e-03,-0.0052
-5.00000000000e-04,-5,1.28,2.72,,2.360e-03,-0.006
-5.00000000000e-04,-5,1.28,2.68,,2.362e-03,-0.0068
-5.00000000000e-04,-4.96,1.32,2.72,,2.363e-03,-0.0076
-5.00000000000e-04,-5,1.32,2.72,,2.365e-03,-0.0084
-5.00000000000e-04,-4.96,1.32,2.72,,2.366e-03,-0.0084
-5.00000000000e-04,-5,1.36,2.72,,2.368e-03,-0.0084
-5.00000000000e-04,-5,1.36,2.68,,2.370e-03,-0.01
-5.00000000000e-04,-5,1.4,2.72,,2.371e-03,-0.01
-5.00000000000e-04,-5,1.4,2.72,,2.373e-03,-0.01
-5.00000000000e-04,-5,1.4,2.72,,2.374e-03,-0.0108
-5.00000000000e-04,-5,1.44,2.72,,2.376e-03,-0.0116
-5.00000000000e-04,-5,1.44,2.68,,2.378e-03,-0.0124
-5.00000000000e-04,-5,1.44,2.68,,2.379e-03,-0.0132
-5.00000000000e-04,-5,1.48,2.68,,2.381e-03,-0.0132
-5.00000000000e-04,-5,1.48,2.72,,2.382e-03,-0.014
-5.00000000000e-04,-5,1.48,2.72,,2.384e-03,-0.014
-5.00000000000e-04,-5,1.52,2.72,,2.386e-03,-0.0156
-5.00000000000e-04,-5,1.52,2.72,,2.387e-03,-0.0156
-5.00000000000e-04,-4.96,1.52,2.72,,2.389e-03,-0.0164
-5.00000000000e-04,-5,1.52,2.72,,2.390e-03,-0.0164
-5.00000000000e-04,-5,1.56,2.72,,2.392e-03,-0.0172
-5.00000000000e-04,-4.96,1.56,2.68,,2.394e-03,-0.0172
-5.00000000000e-04,-5,1.6,2.72,,2.395e-03,-0.0188
-5.00000000000e-04,-5,1.6,2.72,,2.397e-03,-0.0188
-5.00000000000e-04,-5,1.6,2.72,,2.398e-03,-0.0196
-5.00000000000e-04,-5,1.64,2.72,,2.400e-03,-0.0196
-5.00000000000e-04,-5,1.64,2.72,,2.402e-03,-0.0204
-5.00000000000e-04,-4.96,1.64,2.72,,2.403e-03,-0.0204
-5.00000000000e-04,-4.96,1.64,2.72,,2.405e-03,-0.0212
-5.00000000000e-04,-5,1.64,2.72,,2.406e-03,-0.022
-5.00000000000e-04,-5,1.68,2.72,,2.408e-03,-0.0228
-5.00000000000e-04,-5,1.72,2.72,,2.410e-03,-0.0228
-5.00000000000e-04,-5,1.72,2.72,,2.411e-03,-0.0236
-5.00000000000e-04,-5,1.72,2.72,,2.413e-03,-0.0252
-5.00000000000e-04,-5,1.76,2.72,,2.414e-03,-0.0252
-5.00000000000e-04,-5,1.76,2.72,,2.416e-03,-0.026
-5.00000000000e-04,-5,1.76,2.72,,2.418e-03,-0.0268
-5.00000000000e-04,-5,1.8,2.72,,2.419e-03,-0.0268
-5.00000000000e-04,-5,1.8,2.72,,2.421e-03,-0.0284
-5.00000000000e-04,-5,1.84,2.72,,2.422e-03,-0.0284
-5.00000000000e-04,-5,1.84,2.72,,2.424e-03,-0.0292
-5.00000000000e-04,-4.96,1.8,2.72,,2.426e-03,-0.0292
-5.00000000000e-04,-5,1.84,2.72,,2.427e-03,-0.03
-5.00000000000e-04,-5,1.88,2.72,,2.429e-03,-0.0308
-5.00000000000e-04,-5,1.92,2.72,,2.430e-03,-0.0324
-5.00000000000e-04,-4.96,1.88,2.72,,2.432e-03,-0.0324
-5.00000000000e-04,-5,1.92,2.72,,2.434e-03,-0.0332
-5.00000000000e-04,-5,1.92,2.72,,2.435e-03,-0.0332
-5.00000000000e-04,-5,1.96,2.72,,2.437e-03,-0.034
-5.00000000000e-04,-5,1.96,2.72,,2.438e-03,-0.0348
-5.00000000000e-04,-5,1.96,2.72,,2.440e-03,-0.0356
-5.00000000000e-04,-5,1.96,2.72,,2.442e-03,-0.0364
-5.00000000000e-04,-4.96,2,2.72,,2.443e-03,-0.038
-5.00000000000e-04,-5,2,2.72,,2.445e-03,-0.038
-5.00000000000e-04,-4.96,2,2.72,,2.446e-03,-0.0396
-5.00000000000e-04,-4.96,2.04,2.72,,2.448e-03,-0.0404
-5.00000000000e-04,-5,2.04,2.72,,2.450e-03,-0.0404
-5.00000000000e-04,-4.96,2.04,2.72,,2.451e-03,-0.0412
-5.00000000000e-04,-5,2.08,2.72,,2.453e-03,-0.042
-5.00000000000e-04,-5,2.08,2.72,,2.454e-03,-0.0428
-5.00000000000e-04,-5,2.08,2.72,,2.456e-03,-0.0436
-5.00000000000e-04,-5,2.12,2.72,,2.458e-03,-0.0444
-5.00000000000e-04,-5,2.12,2.72,,2.459e-03,-0.0444
-5.00000000000e-04,-5,2.12,2.72,,2.461e-03,-0.0444
-5.00000000000e-04,-4.96,2.16,2.72,,2.462e-03,-0.0452
-5.00000000000e-04,-4.96,2.16,2.72,,2.464e-03,-0.046
-5.00000000000e-04,-4.96,2.12,2.72,,2.466e-03,-0.0468
-5.00000000000e-04,-5,2.16,2.72,,2.467e-03,-0.0468
-5.00000000000e-04,-5,2.2,2.72,,2.469e-03,-0.0476
-5.00000000000e-04,-5,2.2,2.72,,2.470e-03,-0.0484
-5.00000000000e-04,-5,2.16,2.72,,2.472e-03,-0.0492
-5.00000000000e-04,-5,2.2,2.72,,2.474e-03,-0.0492
-5.00000000000e-04,-5,2.2,2.72,,2.475e-03,-0.05
-5.00000000000e-04,-5,2.24,2.72,,2.477e-03,-0.0508
-5.00000000000e-04,-5,2.24,2.72,,2.478e-03,-0.0516
-5.00000000000e-04,-5,2.24,2.72,,2.480e-03,-0.0516
-5.00000000000e-04,-5,2.28,2.72,,2.482e-03,-0.0516
-5.00000000000e-04,-5,2.28,2.72,,2.483e-03,-0.0524
-5.00000000000e-04,-5,2.28,2.72,,2.485e-03,-0.054
-5.00000000000e-04,-5,2.32,2.72,,2.486e-03,-0.054
-5.00000000000e-04,-5,2.32,2.72,,2.488e-03,-0.0548
-5.00000000000e-04,-5,2.32,2.72,,2.490e-03,-0.0548
-5.00000000000e-04,-5,2.32,2.72,,2.491e-03,-0.0556
-5.00000000000e-04,-5,2.36,2.72,,2.493e-03,-0.0564
-5.00000000000e-04,-5,2.36,2.72,,2.494e-03,-0.0564
-5.00000000000e-04,-5,2.36,2.72,,2.496e-03,-0.0572
-5.00000000000e-04,-5,2.4,2.72,,2.498e-03,-0.0572
-5.00000000000e-04,-5,2.4,2.72,,2.499e-03,-0.0588
-5.00000000000e-04,-5,2.36,2.72,,2.501e-03,-0.0588
-5.00000000000e-04,-5,2.4,2.72,,2.502e-03,-0.0596
-5.00000000000e-04,-5,2.4,2.72,,2.504e-03,-0.0604
-5.00000000000e-04,-5,2.44,2.68,,2.506e-03,-0.0604
-5.00000000000e-04,-5,2.44,2.72,,2.507e-03,-0.0612
-5.00000000000e-04,-5,2.44,2.72,,2.509e-03,-0.062
-5.00000000000e-04,-5,2.44,2.68,,2.510e-03,-0.062
-5.00000000000e-04,-5,2.48,2.72,,2.512e-03,-0.0628
-5.00000000000e-04,-5,2.48,2.72,,2.514e-03,-0.0636
-5.00000000000e-04,-5,2.48,2.72,,2.515e-03,-0.0644
-5.00000000000e-04,-5,2.48,2.72,,2.517e-03,-0.0652
-5.00000000000e-04,-5,2.48,2.72,,2.518e-03,-0.066
-5.00000000000e-04,-5,2.52,2.72,,2.520e-03,-0.066
-5.00000000000e-04,-5,2.52,2.72,,2.522e-03,-0.0668
-5.00000000000e-04,-5,2.52,2.72,,2.523e-03,-0.0676
-5.00000000000e-04,-5,2.56,2.72,,2.525e-03,-0.0684
-5.00000000000e-04,-5,2.52,2.72,,2.526e-03,-0.0692
-5.00000000000e-04,-5,2.56,2.72,,2.528e-03,-0.0692
-5.00000000000e-04,-5,2.56,2.72,,2.530e-03,-0.07
-5.00000000000e-04,-5,2.56,2.72,,2.531e-03,-0.0708
-5.00000000000e-04,-5,2.56,2.72,,2.533e-03,-0.0716
-5.00000000000e-04,-4.96,2.6,2.72,,2.534e-03,-0.0716
-5.00000000000e-04,-5,2.6,2.72,,2.536e-03,-0.0724
-5.00000000000e-04,-5,2.6,2.72,,2.538e-03,-0.0732
-5.00000000000e-04,-5,2.6,2.72,,2.539e-03,-0.0732
-5.00000000000e-04,-5,2.64,2.72,,2.541e-03,-0.0732
-5.00000000000e-04,-5,2.64,2.72,,2.542e-03,-0.074
-5.00000000000e-04,-5,2.64,2.68,,2.544e-03,-0.0748
-5.00000000000e-04,-5,2.64,2.72,,2.546e-03,-0.0748
-5.00000000000e-04,-5,2.64,2.72,,2.547e-03,-0.0756
-5.00000000000e-04,-4.96,2.68,2.72,,2.549e-03,-0.0764
-5.00000000000e-04,-5,2.68,2.72,,2.550e-03,-0.0764
-5.00000000000e-04,-5,2.68,2.68,,2.552e-03,-0.0764
-5.00000000000e-04,-5,2.68,2.72,,2.554e-03,-0.0764
-5.00000000000e-04,-5,2.72,2.72,,2.555e-03,-0.0772
-5.00000000000e-04,-5,2.68,2.68,,2.557e-03,-0.078
-5.00000000000e-04,-5,2.72,2.72,,2.558e-03,-0.0772
-5.00000000000e-04,-5,2.72,2.72,,2.560e-03,-0.078
-5.00000000000e-04,-5,2.72,2.72,,2.562e-03,-0.078
-5.00000000000e-04,-4.96,2.76,2.72,,2.563e-03,-0.0788
-5.00000000000e-04,-5,2.76,2.72,,2.565e-03,-0.0788
-5.00000000000e-04,-5,2.76,2.72,,2.566e-03,-0.0796
-5.00000000000e-04,-5,2.76,2.72,,2.568e-03,-0.0796
-5.00000000000e-04,-5,2.76,2.72,,2.570e-03,-0.0796
-5.00000000000e-04,-5,2.76,2.72,,2.571e-03,-0.0804
-5.00000000000e-04,-4.96,2.76,2.72,,2.573e-03,-0.0804
-5.00000000000e-04,-5,2.8,2.72,,2.574e-03,-0.0812
-5.00000000000e-04,-5,2.8,2.72,,2.576e-03,-0.0812
-5.00000000000e-04,-4.96,2.8,2.72,,2.578e-03,-0.0812
-5.00000000000e-04,-5,2.8,2.76,,2.579e-03,-0.0812
-5.00000000000e-04,-4.96,2.8,2.72,,2.581e-03,-0.082
-5.00000000000e-04,-5,2.8,2.72,,2.582e-03,-0.0828
-5.00000000000e-04,-4.96,2.84,2.72,,2.584e-03,-0.0828
-5.00000000000e-04,-5,2.84,2.72,,2.586e-03,-0.0836
-5.00000000000e-04,-5,2.8,2.72,,2.587e-03,-0.0844
-5.00000000000e-04,-5,2.84,2.72,,2.589e-03,-0.0836
-5.00000000000e-04,-5,2.84,2.72,,2.590e-03,-0.0844
-5.00000000000e-04,-5,2.88,2.72,,2.592e-03,-0.0844
-5.00000000000e-04,-4.96,2.88,2.72,,2.594e-03,-0.0852
-5.00000000000e-04,-5,2.88,2.72,,2.595e-03,-0.0852
-5.00000000000e-04,-4.96,2.88,2.72,,2.597e-03,-0.086
-5.00000000000e-04,-5,2.88,2.72,,2.598e-03,-0.086
-5.00000000000e-04,-5,2.88,2.72,,2.600e-03,-0.0868
-5.00000000000e-04,-5,2.88,2.72,,2.602e-03,-0.0868
-5.00000000000e-04,-5,2.88,2.72,,2.603e-03,-0.0868
-5.00000000000e-04,-5,2.92,2.72,,2.605e-03,-0.0876
-5.00000000000e-04,-5,2.92,2.72,,2.606e-03,-0.0876
-5.00000000000e-04,-4.96,2.88,2.72,,2.608e-03,-0.0876
-5.00000000000e-04,-4.96,2.92,2.72,,2.610e-03,-0.0876
-5.00000000000e-04,-4.96,2.92,2.72,,2.611e-03,-0.0876
-5.00000000000e-04,-5,2.92,2.72,,2.613e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.614e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.616e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.618e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.619e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.621e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.622e-03,-0.0884
-5.00000000000e-04,-5,2.96,2.72,,2.624e-03,-0.0892
-5.00000000000e-04,-5,2.96,2.72,,2.626e-03,-0.0884
-5.00000000000e-04,-5,3,2.72,,2.627e-03,-0.0884
-5.00000000000e-04,-5,3,2.76,,2.629e-03,-0.0892
-5.00000000000e-04,-5,3,2.76,,2.630e-03,-0.0892
-5.00000000000e-04,-5,3,2.76,,2.632e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.634e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.635e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.637e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.638e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.640e-03,-0.0892
-5.00000000000e-04,-5,3.04,2.72,,2.642e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.643e-03,-0.0892
-5.00000000000e-04,-5,3.04,2.76,,2.645e-03,-0.0892
-5.00000000000e-04,-4.96,3.04,2.76,,2.646e-03,-0.0892
-5.00000000000e-04,-5,3.04,2.76,,2.648e-03,-0.0892
-5.00000000000e-04,-5,3,2.72,,2.650e-03,-0.0892
-5.00000000000e-04,-5,3.04,2.72,,2.651e-03,-0.0892
-5.00000000000e-04,-4.96,3.04,2.72,,2.653e-03,-0.0884
-5.00000000000e-04,-5,3.04,2.72,,2.654e-03,-0.0884
-5.00000000000e-04,-5,3.04,2.76,,2.656e-03,-0.0884
-5.00000000000e-04,-5,3.04,2.76,,2.658e-03,-0.0884
-5.00000000000e-04,-4.96,3.04,2.72,,2.659e-03,-0.0876
-5.00000000000e-04,-5,3.04,2.72,,2.661e-03,-0.0876
-5.00000000000e-04,-5,3.04,2.72,,2.662e-03,-0.0868
-5.00000000000e-04,-5,3.04,2.72,,2.664e-03,-0.0868
-5.00000000000e-04,-4.96,3.08,2.76,,2.666e-03,-0.0868
-5.00000000000e-04,-4.96,3.08,2.72,,2.667e-03,-0.0868
-5.00000000000e-04,-4.96,3.08,2.76,,2.669e-03,-0.0868
-5.00000000000e-04,-5,3.08,2.72,,2.670e-03,-0.0868
-5.00000000000e-04,-5,3.08,2.76,,2.672e-03,-0.0868
-5.00000000000e-04,-5,3.08,2.76,,2.674e-03,-0.0868
-5.00000000000e-04,-5,3.08,2.76,,2.675e-03,-0.0876
-5.00000000000e-04,-5,3.08,2.76,,2.677e-03,-0.0868
-5.00000000000e-04,-5,3.08,2.72,,2.678e-03,-0.086
-5.00000000000e-04,-5,3.08,2.76,,2.680e-03,-0.086
-5.00000000000e-04,-5,3.08,2.76,,2.682e-03,-0.086
-5.00000000000e-04,-5,3.08,2.76,,2.683e-03,-0.086
-5.00000000000e-04,-5,3.08,2.76,,2.685e-03,-0.0852
-5.00000000000e-04,-5,3.08,2.76,,2.686e-03,-0.0852
-5.00000000000e-04,-5,3.08,2.76,,2.688e-03,-0.0844
-5.00000000000e-04,-5,3.08,2.76,,2.690e-03,-0.0844
-5.00000000000e-04,-5,3.08,2.76,,2.691e-03,-0.0836
-5.00000000000e-04,-5,3.08,2.76,,2.693e-03,-0.0828
-5.00000000000e-04,-4.96,3.08,2.76,,2.694e-03,-0.0828
-5.00000000000e-04,-4.96,3.12,2.76,,2.696e-03,-0.0828
-5.00000000000e-04,-4.96,3.08,2.76,,2.698e-03,-0.0828
-5.00000000000e-04,-5,3.08,2.76,,2.699e-03,-0.0828
-5.00000000000e-04,-4.96,3.12,2.76,,2.701e-03,-0.0828
-5.00000000000e-04,-5,3.12,2.76,,2.702e-03,-0.0828
-5.00000000000e-04,-4.96,3.08,2.76,,2.704e-03,-0.0828
-5.00000000000e-04,-5,3.12,2.76,,2.706e-03,-0.0828
-5.00000000000e-04,-5,3.08,2.76,,2.707e-03,-0.0828
-5.00000000000e-04,-5,3.12,2.76,,2.709e-03,-0.0828
-5.00000000000e-04,-5,3.12,2.72,,2.710e-03,-0.0836
-5.00000000000e-04,-5,3.12,2.72,,2.712e-03,-0.0828
-5.00000000000e-04,-4.96,3.12,2.76,,2.714e-03,-0.0828
-5.00000000000e-04,-5,3.12,2.76,,2.715e-03,-0.0828
-5.00000000000e-04,-5,3.12,2.76,,2.717e-03,-0.0828
-5.00000000000e-04,-4.96,3.12,2.76,,2.718e-03,-0.082
-5.00000000000e-04,-5,3.12,2.76,,2.720e-03,-0.082
-5.00000000000e-04,-5,3.08,2.76,,2.722e-03,-0.082
-5.00000000000e-04,-5,3.12,2.76,,2.723e-03,-0.0812
-5.00000000000e-04,-5,3.08,2.76,,2.725e-03,-0.0812
-5.00000000000e-04,-5,3.08,2.76,,2.726e-03,-0.0812
-5.00000000000e-04,-5,3.08,2.76,,2.728e-03,-0.0804
-5.00000000000e-04,-5,3.08,2.76,,2.730e-03,-0.0812
-5.00000000000e-04,-5,3.08,2.76,,2.731e-03,-0.0796
-5.00000000000e-04,-5,3.12,2.76,,2.733e-03,-0.0796
-5.00000000000e-04,-4.96,3.08,2.72,,2.734e-03,-0.0796
-5.00000000000e-04,-4.96,3.08,2.76,,2.736e-03,-0.0788
-5.00000000000e-04,-5,3.08,2.76,,2.738e-03,-0.078
-5.00000000000e-04,-5,3.08,2.76,,2.739e-03,-0.0772
-5.00000000000e-04,-5,3.08,2.76,,2.741e-03,-0.0772
-5.00000000000e-04,-5,3.08,2.76,,2.742e-03,-0.0764
-5.00000000000e-04,-5,3.08,2.76,,2.744e-03,-0.0764
-5.00000000000e-04,-5,3.08,2.76,,2.746e-03,-0.0756
-5.00000000000e-04,-5,3.04,2.76,,2.747e-03,-0.0748
-5.00000000000e-04,-4.96,3.08,2.76,,2.749e-03,-0.0748
-5.00000000000e-04,-4.96,3.08,2.76,,2.750e-03,-0.074
-5.00000000000e-04,-4.96,3.08,2.76,,2.752e-03,-0.074
-5.00000000000e-04,-4.96,3.08,2.76,,2.754e-03,-0.0732
-5.00000000000e-04,-5,3.04,2.72,,2.755e-03,-0.0724
-5.00000000000e-04,-4.96,3.08,2.76,,2.757e-03,-0.0724
-5.00000000000e-04,-5,3.08,2.76,,2.758e-03,-0.0716
-5.00000000000e-04,-5,3.08,2.76,,2.760e-03,-0.0708
-5.00000000000e-04,-5,3.08,2.76,,2.762e-03,-0.0708
-5.00000000000e-04,-4.96,3.08,2.76,,2.763e-03,-0.07
-5.00000000000e-04,-5,3.04,2.76,,2.765e-03,-0.0692
-5.00000000000e-04,-4.96,3.04,2.76,,2.766e-03,-0.07
-5.00000000000e-04,-5,3.04,2.76,,2.768e-03,-0.0692
-5.00000000000e-04,-5,3.04,2.76,,2.770e-03,-0.0692
-5.00000000000e-04,-5,3.04,2.76,,2.771e-03,-0.0692
-5.00000000000e-04,-5,3.04,2.72,,2.773e-03,-0.0692
-5.00000000000e-04,-4.96,3.04,2.76,,2.774e-03,-0.0684
-5.00000000000e-04,-5,3.04,2.76,,2.776e-03,-0.0676
-5.00000000000e-04,-5,3,2.76,,2.778e-03,-0.0676
-5.00000000000e-04,-4.96,3.04,2.76,,2.779e-03,-0.0676
-5.00000000000e-04,-4.96,3,2.76,,2.781e-03,-0.0668
-5.00000000000e-04,-5,3,2.76,,2.782e-03,-0.0668
-5.00000000000e-04,-5,3,2.76,,2.784e-03,-0.066
-5.00000000000e-04,-4.96,3,2.76,,2.786e-03,-0.066
-5.00000000000e-04,-5,3,2.76,,2.787e-03,-0.0652
-5.00000000000e-04,-5,3,2.76,,2.789e-03,-0.0652
-5.00000000000e-04,-5,3,2.76,,2.790e-03,-0.0652
-5.00000000000e-04,-4.96,3,2.76,,2.792e-03,-0.0644
-5.00000000000e-04,-4.96,3,2.76,,2.794e-03,-0.0644
-5.00000000000e-04,-4.96,3,2.76,,2.795e-03,-0.0636
-5.00000000000e-04,-4.96,2.96,2.76,,2.797e-03,-0.0628
-5.00000000000e-04,-5,3,2.76,,2.798e-03,-0.0628
-5.00000000000e-04,-4.96,2.96,2.76,,2.800e-03,-0.062
-5.00000000000e-04,-4.96,2.96,2.76,,2.802e-03,-0.0612
-5.00000000000e-04,-4.96,2.96,2.76,,2.803e-03,-0.0604
-5.00000000000e-04,-4.96,2.96,2.76,,2.805e-03,-0.0596
-5.00000000000e-04,-4.96,2.96,2.76,,2.806e-03,-0.0596
-5.00000000000e-04,-5,2.96,2.76,,2.808e-03,-0.058
-5.00000000000e-04,-4.96,2.92,2.72,,2.810e-03,-0.058
-5.00000000000e-04,-4.96,2.92,2.76,,2.811e-03,-0.0572
-5.00000000000e-04,-5,2.92,2.76,,2.813e-03,-0.0572
-5.00000000000e-04,-4.96,2.92,2.72,,2.814e-03,-0.0564
-5.00000000000e-04,-4.96,2.92,2.76,,2.816e-03,-0.0556
-5.00000000000e-04,-4.96,2.92,2.76,,2.818e-03,-0.0548
-5.00000000000e-04,-4.96,2.92,2.76,,2.819e-03,-0.0548
-5.00000000000e-04,-4.96,2.92,2.76,,2.821e-03,-0.054
-5.00000000000e-04,-4.96,2.88,2.76,,2.822e-03,-0.0532
-5.00000000000e-04,-4.96,2.88,2.76,,2.824e-03,-0.0524
-5.00000000000e-04,-5,2.88,2.76,,2.826e-03,-0.0516
-5.00000000000e-04,-5,2.88,2.76,,2.827e-03,-0.0508
-5.00000000000e-04,-5,2.88,2.76,,2.829e-03,-0.0508
-5.00000000000e-04,-4.96,2.88,2.76,,2.830e-03,-0.05
-5.00000000000e-04,-4.96,2.88,2.76,,2.832e-03,-0.0492
-5.00000000000e-04,-5,2.84,2.76,,2.834e-03,-0.0492
-5.00000000000e-04,-4.96,2.88,2.76,,2.835e-03,-0.0484
-5.00000000000e-04,-4.96,2.84,2.76,,2.837e-03,-0.0484
-5.00000000000e-04,-4.96,2.84,2.76,,2.838e-03,-0.0476
-5.00000000000e-04,-4.96,2.84,2.76,,2.840e-03,-0.0468
-5.00000000000e-04,-4.96,2.84,2.76,,2.842e-03,-0.046
-5.00000000000e-04,-4.96,2.8,2.76,,2.843e-03,-0.046
-5.00000000000e-04,-4.96,2.8,2.76,,2.845e-03,-0.0452
-5.00000000000e-04,-4.96,2.8,2.76,,2.846e-03,-0.0452
-5.00000000000e-04,-4.96,2.8,2.76,,2.848e-03,-0.0444
-5.00000000000e-04,-4.96,2.76,2.76,,2.850e-03,-0.0444
-5.00000000000e-04,-4.96,2.8,2.76,,2.851e-03,-0.0436
-5.00000000000e-04,-4.96,2.76,2.76,,2.853e-03,-0.0428
-5.00000000000e-04,-4.96,2.76,2.76,,2.854e-03,-0.0428
-5.00000000000e-04,-4.96,2.76,2.76,,2.856e-03,-0.042
-5.00000000000e-04,-4.96,2.76,2.76,,2.858e-03,-0.0412
-5.00000000000e-04,-4.96,2.72,2.76,,2.859e-03,-0.0404
-5.00000000000e-04,-4.96,2.72,2.76,,2.861e-03,-0.0404
-5.00000000000e-04,-4.96,2.72,2.76,,2.862e-03,-0.0388
-5.00000000000e-04,-4.96,2.72,2.76,,2.864e-03,-0.0396
-5.00000000000e-04,-4.96,2.72,2.76,,2.866e-03,-0.038
-5.00000000000e-04,-4.96,2.72,2.76,,2.867e-03,-0.038
-5.00000000000e-04,-4.96,2.68,2.76,,2.869e-03,-0.0372
-5.00000000000e-04,-4.96,2.68,2.76,,2.870e-03,-0.0372
-5.00000000000e-04,-4.96,2.68,2.76,,2.872e-03,-0.0364
-5.00000000000e-04,-4.92,2.68,2.76,,2.874e-03,-0.0356
-5.00000000000e-04,-4.96,2.64,2.76,,2.875e-03,-0.0348
-5.00000000000e-04,-4.92,2.64,2.76,,2.877e-03,-0.0348
-5.00000000000e-04,-4.92,2.64,2.76,,2.878e-03,-0.034
-5.00000000000e-04,-4.92,2.64,2.76,,2.880e-03,-0.0332
-5.00000000000e-04,-4.92,2.6,2.76,,2.882e-03,-0.0332
-5.00000000000e-04,-4.92,2.6,2.76,,2.883e-03,-0.0324
-5.00000000000e-04,-4.92,2.6,2.76,,2.885e-03,-0.0316
-5.00000000000e-04,-4.92,2.6,2.76,,2.886e-03,-0.0308
-5.00000000000e-04,-4.92,2.56,2.76,,2.888e-03,-0.03
-5.00000000000e-04,-4.92,2.52,2.76,,2.890e-03,-0.03
-5.00000000000e-04,-4.88,2.56,2.76,,2.891e-03,-0.0292
-5.00000000000e-04,-4.88,2.52,2.76,,2.893e-03,-0.0284
-5.00000000000e-04,-4.88,2.52,2.76,,2.894e-03,-0.0276
-5.00000000000e-04,-4.88,2.52,2.76,,2.896e-03,-0.0268
-5.00000000000e-04,-4.88,2.48,2.76,,2.898e-03,-0.0268
-5.00000000000e-04,-4.84,2.48,2.72,,2.899e-03,-0.026
-5.00000000000e-04,-4.88,2.48,2.76,,2.901e-03,-0.026
-5.00000000000e-04,-4.84,2.48,2.76,,2.902e-03,-0.0244
-5.00000000000e-04,-4.8,2.48,2.76,,2.904e-03,-0.0236
