Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-5,2.04,2.56,,1.328e-03,0.054
-5.00000000000e-04,-4.96,2.04,2.56,,1.330e-03,0.054
-5.00000000000e-04,-5,2,2.56,,1.331e-03,0.054
-5.00000000000e-04,-5,2,2.56,,1.333e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.334e-03,0.054
-5.00000000000e-04,-5,2,2.56,,1.336e-03,0.054
-5.00000000000e-04,-5,2,2.56,,1.338e-03,0.054
-5.00000000000e-04,-5,2,2.56,,1.339e-03,0.054
-5.00000000000e-04,-4.96,2,2.56,,1.341e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.342e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.344e-03,0.0532
-5.00000000000e-04,-5,1.96,2.56,,1.346e-03,0.0532
-5.00000000000e-04,-5,1.96,2.56,,1.347e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.349e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.350e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.352e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.354e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.355e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.357e-03,0.054
-5.00000000000e-04,-5,1.92,2.56,,1.358e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.360e-03,0.0532
-5.00000000000e-04,-5,1.96,2.56,,1.362e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.363e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.365e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.366e-03,0.054
-5.00000000000e-04,-5,1.96,2.52,,1.368e-03,0.054
-5.00000000000e-04,-5,1.96,2.56,,1.370e-03,0.0532
-5.00000000000e-04,-5,1.96,2.56,,1.371e-03,0.0532
-5.00000000000e-04,-5,1.96,2.56,,1.373e-03,0.0532
-5.00000000000e-04,-5,1.92,2.56,,1.374e-03,0.0532
-5.00000000000e-04,-5,1.92,2.56,,1.376e-03,0.054
